PLAYER,PLAY TYPE,MADE,SHOT TYPE,BOXSCORE,VTM,HTM,Game Date,PERIOD
Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Driving Floating Jump Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Driving Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Fadeaway Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Driving Finger Roll Layup Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Pullup Jump shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Cutting Dunk Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Turnaround Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Tip Layup Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Driving Hook Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Driving Floating Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Putback Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets
